id,proper,ra,dec,mag,spect,con
32263,Sirius,6.752481,-16.716116,-1.44,A0m...,CMa
30365,Canopus,6.399195,-52.69566,-0.62,F0Ib,Car
69451,Arcturus,14.26103,19.18241,-0.05,K2IIIp,Boo
71456,Rigil Kentaurus,14.660765,-60.833976,-0.01,G2V,Cen
90979,Vega,18.61564,38.783692,0.03,A0Vvar,Lyr
24549,Capella,5.27815,45.997991,0.08,M1: comp,Aur
24378,Rigel,5.242298,-8.20164,0.18,B8Ia,Ori
37173,Procyon,7.655033,5.224993,0.4,F5IV-V,CMi
27919,Betelgeuse,5.919529,7.407063,0.45,M2Ib,Ori
7574,Achernar,1.628556,-57.236757,0.45,B3Vp,Eri
68483,Hadar,14.063729,-60.373039,0.61,B1III,Cen
97338,Altair,19.846388,8.868322,0.76,A7IV-V,Aql
60530,Acrux,12.443311,-63.099092,0.77,B0.5IV,Cru
21368,Aldebaran,4.598677,16.509301,0.87,K5III,Tau
118360,,5.277926,46.000842,0.96,G0 III,Aur
65269,Spica,13.419883,-11.161322,0.98,B1V,Vir
80519,Antares,16.490128,-26.432002,1.06,M1Ib + B2.5V,Sco
37718,Pollux,7.755277,28.026199,1.16,K0IIIvar,Gem
113008,Fomalhaut,22.960838,-29.622236,1.17,A3V,PsA
62239,Mimosa,12.795359,-59.688764,1.25,B0.5III,Cru
101767,Deneb,20.690532,45.280338,1.25,A2Ia,Cyg
71453,Toliman,14.660346,-60.8383,1.35,K1V,Cen
49528,Regulus,10.139532,11.967207,1.36,B7V,Leo
33492,Adhara,6.977097,-28.972084,1.5,B2II,CMa
36744,Castor,7.576634,31.888276,1.58,A2Vm,Gem
60893,Gacrux,12.519429,-57.113212,1.59,M4III,Cru
85665,Shaula,17.560145,-37.103821,1.62,B1.5IV+...,Sco
25273,Bellatrix,5.418851,6.349702,1.64,B2III,Ori
25364,Elnath,5.438198,28.60745,1.65,B7III,Tau
45106,Miaplacidus,9.220041,-69.717208,1.67,A2IV,Car
26246,Alnilam,5.603559,-1.20192,1.69,B0Ia,Ori
108922,Alnair,22.137209,-46.960975,1.73,B7IV,Gru
26662,Alnitak,5.679313,-1.942572,1.74,O9.5Ib SB,Ori
39840,,8.158876,-47.336588,1.75,WC8 + O9I,Vel
62757,Alioth,12.900472,55.959821,1.76,A0p,UMa
15824,Mirfak,3.405378,49.86118,1.79,F5Ib,Per
89906,Kaus Australis,18.402868,-34.384616,1.79,B9.5III,Sgr
53905,Dubhe,11.062155,61.751033,1.81,F7V comp,UMa
34354,Wezen,7.139857,-26.3932,1.83,F8Ia,CMa
67088,Alkaid,13.792354,49.313265,1.85,B3V SB,UMa
40921,Avior,8.375236,-59.509483,1.86,K3III+B2V,Car
85965,Sargas,17.62198,-42.997824,1.86,F1II,Sco
28288,Menkalinan,5.992149,44.947433,1.9,A2V,Aur
82022,Atria,16.811077,-69.027715,1.91,K2IIb-IIIa,TrA
42794,Alsephina,8.745059,-54.708821,1.93,A1V,Vel
31601,Alhena,6.628528,16.399252,1.93,A0IV,Gem
100425,Peacock,20.427459,-56.73509,1.94,B2IV,Pav
11734,Polaris,2.52975,89.264109,1.97,F7:Ib-IIv SB,UMi
30251,Mirzam,6.378329,-17.955918,1.98,B1II/III,CMa
46259,Alphard,9.45979,-8.658603,1.99,K3III,Hya
9861,Hamal,2.119555,23.462423,2.01,K2III,Ari
50440,Algieba,10.332873,19.841489,2.01,K0III,Leo
3413,Diphda,0.72649,-17.986605,2.04,K0III,Cet
92564,Nunki,18.92109,-26.296722,2.05,B2.5V,Sgr
68714,Menkent,14.111395,-36.369954,2.06,K0IIIb,Cen
111768,Tiaki,22.711115,-46.884577,2.07,M5III,Gru
72380,Kochab,14.845105,74.155505,2.07,K4IIIvar,UMi
5436,Mirach,1.162194,35.620558,2.07,M0IIIvar,And
27298,Saiph,5.795941,-9.669605,2.07,B0.5Iavar,Ori
676,Alpheratz,0.139791,29.090432,2.07,B9p,And
85769,Rasalhague,17.582241,12.560035,2.08,A5III,Oph
14540,Algol,3.136148,40.955648,2.09,B8V,Per
9618,Almach,2.064984,42.329725,2.1,B8V,And
57459,Denebola,11.817663,14.57206,2.14,A3Vvar,Leo
4417,Cih,0.945143,60.71674,2.15,B0IV:evar,Cas
61739,,12.691971,-48.959888,2.2,A1IV,Cen
45425,Aspidiske,9.284838,-59.275229,2.21,A8Ib,Car
39318,Naos,8.059737,-40.003148,2.21,O5IAf,Pup
76035,Alphecca,15.578128,26.714693,2.22,A0V,CrB
100128,Sadr,20.370473,40.256679,2.23,F8Ib,Cyg
65173,Mizar,13.398747,54.925362,2.23,A2V,UMa
44689,Suhail,9.133268,-43.432589,2.23,K4Ib-II,Vel
3172,Schedar,0.675116,56.537331,2.24,K0II-IIIvar,Cas
87561,Eltanin,17.943437,51.488895,2.24,K5III,Dra
25865,Mintaka,5.533445,-0.299092,2.25,O9.5II,Ori
744,Caph,0.152887,59.14978,2.28,F2III-IV,Cas
